codigo;descrip;marca;tipo;costo;iva;valiva;moneda;costo_us;unidad;gananmin;gananmay;minoris;minorisi;mayoris;mayorisi;fecha
6923794442020;P02A-CARP A4  PP 3SOL C/ELAS OPACA;CARPETAS COMERCIAL;PP CON ELASTICO;15,08;G;21;$;0;07;2,4662;0;37,19;45;0;0;42517
6923794432021;P02F-CARP OFI PP 3SOL C/ELAS OPACA;CARPETAS COMERCIAL;PP CON ELASTICO;16,57;G;21;$;0;07;2,7429;0;45,45;55;0;0;42517
041594206638;VASOS TERMICO CAFE 240CC PAQ X 25;ENVASES;VASOS;5,72;G;21;$;0;07;3,4668;0;19,83;24;0;0;42425
7796569091216;**ACTAS 2M POTOSI;LIBROS COMERCIALES;POTOSI;27,96;G;21;$;0;07;2,4828;1,85;69,42;84;51,73;62,59;42509
7796569090219;ACTAS 3M POTOSI;LIBROS COMERCIALES;POTOSI;49,12;G;21;$;0;07;2,3893;1,85;117,36;142,01;90,87;109,95;42509
7796569093210;ACTAS 4M POTOSI;LIBROS COMERCIALES;POTOSI;61,06;G;21;$;0;07;2,3957;0;146,28;177;0;0;42396
000001074;1/25 ARE COR MAYOR 2COL 2M;LIBROS COMERCIALES;ARE TAPA DURA;93,54;G;21;$;0;07;2,1027;0;196,69;238;0;0;42380
000001059;4/04 ARE BORRA IVA COMPRA 2M;LIBROS COMERCIALES;ARE TAPA DURA;170,51;G;21;$;0;07;2,1036;0;358,68;434;0;0;42380
000001051;6/03 REGISTRO DE ACCIONISTAS;LIBROS COMERCIALES;ARE TAPA DURA;150,58;G;21;$;0;07;2,0966;0;315,7;382;0;0;42380
15831;8/04 CARTONE RAYADO APAISADO 2M;LIBROS COMERCIALES;ARE TAPA DURA;93,54;G;21;$;0;07;1,8554;0;173,55;210;0;0;42380
000001052;8/09 CARTONE CUADRIC APAISADO 2M;LIBROS COMERCIALES;ARE TAPA DURA;93,54;G;21;$;0;07;1,8554;0;173,55;210;0;0;42380
000001067;9/02 LIQUIDACION MENSUAL 1M;LIBROS COMERCIALES;ARE TAPA DURA;197,12;G;21;$;0;07;2,0963;0;413,22;500;0;0;42380
000001068;9/05 LIQUIDACION 1FOLIO PP 1M;LIBROS COMERCIALES;ARE TAPA DURA;197,12;G;21;$;0;07;2,0963;0;413,22;500;0;0;42380
000001033;4/09 ARE IVA COMPRAS CLOCHETS FLEX;LIBROS COMERCIALES;ARE TAPA FLEXIBLE;26,74;G;21;$;0;07;2,4106;0;64,46;78;0;0;42380
000001034;5/05 ARE REGISTRO AUTOMOTOR;LIBROS COMERCIALES;ARE TAPA FLEXIBLE;54,92;G;21;$;0;07;2,2121;0;121,49;147;0;0;42380
000001035;9/01 ARE LIQUIDACION MENSUAL FLEX;LIBROS COMERCIALES;ARE TAPA FLEXIBLE;56,45;G;21;$;0;07;2,2106;0;124,79;151;0;0;42380
000001031;4/01 ARE IVA COMPRAS APAIS FLEXIBLE;LIBROS COMERCIALES;ARE TAPA FLEXIBLE;36,81;G;21;$;0;07;2,2228;0;81,82;99;0;0;42380
000001032;4/02 ARE IVA VENTAS APAIS FLEXIBLE;LIBROS COMERCIALES;ARE TAPA FLEXIBLE;36,81;G;21;$;0;07;2,2228;0;81,82;99;0;0;42380
0615080063;ENMASCARAR 12X50;CINTAS ADHESIVAS;ENMASCARAR;7,29;G;21;$;0;07;3,1742;1,8;23,14;28;13,12;15,88;42509
7896292297333;973-SET DE ESCRITORIO ACRIMET 9PZ;OFICINA;ORGANIZADORES SET;303,78;G;21;$;0;07;2,19;0;665,29;805;0;0;42598
010343864993;B8 EPSON NEGRO T090 P/C92-CX5600;CARTUCHO;EPSON;143,973;G;10,5;U$S;9,41;07;1,7;0;244,75;270,45;0;0;42593
041594201695;TAPA P/VASO 4JL C/RESPIR.CJ.X1000;ENVASES;VASOS;219,3;G;21;$;0;07;2,2059;0;483,75;585,34;0;0;42355
041594200315;TAPA P/VASO 6JL C/RESPIR.CJ.X1000;ENVASES;VASOS;245,425;G;21;$;0;07;2,2039;0;540,89;654,48;0;0;42355
4430;JMB16-TANDEM 3 CUERPOS TAPIZADO AZU;SILLAS;TANDEM;1689,5;G;21;$;0;07;1,8001;0;3041,32;3680;0;0;42391
4431;JMB16-TANDEM 3 CUERPOS TAPIZADO NEG;SILLAS;TANDEM;1689,5;G;21;$;0;07;1,8001;0;3041,32;3680;0;0;42391
4432;JMB44-TANDEM 4 CUERPOS TAPIZADO NEG;SILLAS;TANDEM;2264,5;G;21;$;0;07;1,8;0;4076,03;4932;0;0;42391
4433;JMB44-TANDEM 4 CUERPOS TAPIZADO AZU;SILLAS;TANDEM;2264,5;G;21;$;0;07;1,8;0;4076,03;4932;0;0;42391
4437;JMB16-TANDEM 3 CUERPOS PLASTICO NEG;SILLAS;TANDEM;1091,1;G;21;$;0;07;1,8027;0;1966,94;2380;0;0;42391
4438;JMB16-TANDEM 3 CUERPOS PLASTICO AZU;SILLAS;TANDEM;1091,1;G;21;$;0;07;1,8027;0;1966,94;2380;0;0;42391
4439;JMB44-TANDEM 4 CUERPOS PLASTICO NEG;SILLAS;TANDEM;1466,6;G;21;$;0;07;1,8004;0;2640,5;3195;0;0;42391
4445;JMB44-TANDEM 4 CUERPOS PLASTICO AZU;SILLAS;TANDEM;1466,6;G;21;$;0;07;1,8004;0;2640,5;3195;0;0;42391
4446;JMB45-TANDEM 5 CUERPOS PLASTICO;SILLAS;TANDEM;1737,7;G;21;$;0;07;1,8001;0;3128,1;3785;0;0;42391
7798121451049;S100-CAJA FANTAS.C/T 50X40X15 TIGRE/LEOPARDO;CAJAS DE ARCHIVO;CARTON ESPECIALES;22,21;G;21;$;0;07;2,493;0;55,37;67;0;0;42523
7798071680230;100-ABECEDARIO 93U.BOLSA GRANDE;ARTICULOS DIDACTICOS;EVA MAGIC;83,44;G;21;$;0;07;2,2285;0;185,95;225;0;0;42500
7798071680278;200-ABECEDARIO 36U.BOLSA MEDIANA;ARTICULOS DIDACTICOS;EVA MAGIC;35,35;G;21;$;0;07;2,2911;0;80,99;98;0;0;42500
7798071680155;30-ABECEDARIO CHICO IMPRENTA;ARTICULOS DIDACTICOS;EVA MAGIC;15,99;G;21;$;0;07;2,3777;0;38,02;46;0;0;42500
7798071680162;31-ABECEDARIO CHICO CURSIVA;ARTICULOS DIDACTICOS;EVA MAGIC;16,33;G;21;$;0;07;2,3282;0;38,02;46;0;0;42500
7798071680551;1003-CASCARITAS LETRAS 52 UNID.;ARTICULOS DIDACTICOS;EVA MAGIC;9,06;G;21;$;0;07;2,4625;0;22,31;27;0;0;42500
7798071682333;2400-CASCARITAS LETRAS 27 UNID.;ARTICULOS DIDACTICOS;EVA MAGIC;3,28;G;21;$;0;07;2,6463;0;8,68;10,5;0;0;42500
7798071682326;2300-CASCARITAS VOCALES X 5;ARTICULOS DIDACTICOS;EVA MAGIC;3,56;G;21;$;0;07;2,4382;0;8,68;10,5;0;0;42500
7798071682302;2200-ABECEDARIO BOLSA X 31;ARTICULOS DIDACTICOS;EVA MAGIC;18,18;G;21;$;0;07;2,3185;0;42,15;51;0;0;42500
7798071680247;101-NUMEROS X100 BOLSA GRANDE;ARTICULOS DIDACTICOS;EVA MAGIC;83,44;G;21;$;0;07;2,2285;0;185,95;225;0;0;42500
7798071680322;300-NUMEROS X30 BOLSA PEQUEÑA;ARTICULOS DIDACTICOS;EVA MAGIC;27,4;G;21;$;0;07;2,2923;0;62,81;76;0;0;42500
7798071680568;1004-CASCARITAS NUMEROS X50 UNID.;ARTICULOS DIDACTICOS;EVA MAGIC;9,06;G;21;$;0;07;2,4625;0;22,31;27;0;0;42500
7798071682364;2900-TROQUEL NUMERICO CHICO;ARTICULOS DIDACTICOS;EVA MAGIC;12,68;G;21;$;0;07;2,3139;0;29,34;35,5;0;0;42500
7798071683392;4700-NUMEROS MEDIANOS X20;ARTICULOS DIDACTICOS;EVA MAGIC;51,58;G;21;$;0;07;2,3232;0;119,83;145;0;0;42500
7798071683828;4500-NUMEROS GIGANTES X10;ARTICULOS DIDACTICOS;EVA MAGIC;49,36;G;21;$;0;07;2,2101;0;109,09;132;0;0;42500
7798071682449;3700-ENCASTRES GRANJA;ARTICULOS DIDACTICOS;EVA MAGIC;17,26;G;21;$;0;07;2,2984;0;39,67;48;0;0;42500
7798071681183;4200-ENCASTRES ANIMALES DE MAR;ARTICULOS DIDACTICOS;EVA MAGIC;16,33;G;21;$;0;07;2,2774;0;37,19;45;0;0;42500
7798071681176;4100-ENCASTRES CIUDAD;ARTICULOS DIDACTICOS;EVA MAGIC;16,33;G;21;$;0;07;2,2774;0;37,19;45;0;0;42500
7798071682425;3500-ENCASTRES SET HERRAMIENTAS;ARTICULOS DIDACTICOS;EVA MAGIC;19,99;G;21;$;0;07;2,2736;0;45,45;55;0;0;42500
7798071682203;1400-ENCASTRES MINI CUBO GEOMETRICO;ARTICULOS DIDACTICOS;EVA MAGIC;9,98;G;21;$;0;07;2,4018;0;23,97;29;0;0;42500
7798071680193;60-ENCASTRES ANIMALES;ARTICULOS DIDACTICOS;EVA MAGIC;12,65;G;21;$;0;07;2,2538;0;28,51;34,5;0;0;42500
7798071680179;40-MAPA REP.ARGENTINA;ARTICULOS DIDACTICOS;EVA MAGIC;19,99;G;21;$;0;07;2,3772;0;47,52;57,5;0;0;42500
